NAME,pop_poverty_total,pop_below_poverty,pct_below_poverty,LocationID
"Autauga County, Alabama",58731.0,6275.0,10.7,01001
"Baldwin County, Alabama",236041.0,24819.0,10.5,01003
"Barbour County, Alabama",21650.0,4746.0,21.9,01005
"Bibb County, Alabama",20759.0,4258.0,20.5,01007
"Blount County, Alabama",58665.0,8269.0,14.1,01009
"Bullock County, Alabama",9138.0,2344.0,25.7,01011
"Butler County, Alabama",18467.0,3881.0,21.0,01013
"Calhoun County, Alabama",112002.0,19558.0,17.5,01015
"Chambers County, Alabama",33682.0,5214.0,15.5,01017
"Cherokee County, Alabama",24829.0,3606.0,14.5,01019
"Chilton County, Alabama",44885.0,6111.0,13.6,01021
"Choctaw County, Alabama",12355.0,2413.0,19.5,01023
"Clarke County, Alabama",22426.0,4607.0,20.5,01025
"Clay County, Alabama",13870.0,2295.0,16.5,01027
"Cleburne County, Alabama",15082.0,1984.0,13.2,01029
"Coffee County, Alabama",53403.0,9409.0,17.6,01031
"Colbert County, Alabama",57038.0,9626.0,16.9,01033
"Conecuh County, Alabama",11308.0,3125.0,27.6,01035
"Coosa County, Alabama",9986.0,1161.0,11.6,01037
"Covington County, Alabama",37028.0,6681.0,18.0,01039
"Crenshaw County, Alabama",12853.0,2081.0,16.2,01041
"Cullman County, Alabama",88470.0,12299.0,13.9,01043
"Dale County, Alabama",48517.0,9078.0,18.7,01045
"Dallas County, Alabama",37061.0,10748.0,29.0,01047
"DeKalb County, Alabama",70752.0,14405.0,20.4,01049
"Elmore County, Alabama",84122.0,8652.0,10.3,01051
"Escambia County, Alabama",34135.0,7238.0,21.2,01053
"Etowah County, Alabama",101762.0,17401.0,17.1,01055
"Fayette County, Alabama",15899.0,2967.0,18.7,01057
"Franklin County, Alabama",31517.0,5476.0,17.4,01059
"Geneva County, Alabama",26426.0,5035.0,19.1,01061
"Greene County, Alabama",7510.0,2697.0,35.9,01063
"Hale County, Alabama",14456.0,3454.0,23.9,01065
"Henry County, Alabama",17063.0,2695.0,15.8,01067
"Houston County, Alabama",106448.0,19198.0,18.0,01069
"Jackson County, Alabama",52233.0,8758.0,16.8,01071
"Jefferson County, Alabama",652226.0,106524.0,16.3,01073
"Lamar County, Alabama",13685.0,2061.0,15.1,01075
"Lauderdale County, Alabama",92258.0,12584.0,13.6,01077
"Lawrence County, Alabama",32794.0,4506.0,13.7,01079
"Lee County, Alabama",170219.0,32119.0,18.9,01081
"Limestone County, Alabama",104127.0,10561.0,10.1,01083
"Lowndes County, Alabama",9844.0,2913.0,29.6,01085
"Macon County, Alabama",16344.0,3611.0,22.1,01087
"Madison County, Alabama",385414.0,40401.0,10.5,01089
"Marengo County, Alabama",18794.0,4241.0,22.6,01091
"Marion County, Alabama",28544.0,4809.0,16.8,01093
"Marshall County, Alabama",97268.0,15841.0,16.3,01095
"Mobile County, Alabama",405368.0,65948.0,16.3,01097
"Monroe County, Alabama",19335.0,4371.0,22.6,01099
"Montgomery County, Alabama",217651.0,41981.0,19.3,01101
"Morgan County, Alabama",121233.0,16441.0,13.6,01103
"Perry County, Alabama",7350.0,2296.0,31.2,01105
"Pickens County, Alabama",17181.0,3878.0,22.6,01107
"Pike County, Alabama",30467.0,7130.0,23.4,01109
"Randolph County, Alabama",21670.0,3983.0,18.4,01111
"Russell County, Alabama",58278.0,12966.0,22.2,01113
"St. Clair County, Alabama",90658.0,10129.0,11.2,01115
"Shelby County, Alabama",223062.0,15442.0,6.9,01117
"Sumter County, Alabama",9963.0,2801.0,28.1,01119
"Talladega County, Alabama",77408.0,13665.0,17.7,01121
"Tallapoosa County, Alabama",40302.0,6128.0,15.2,01123
"Tuscaloosa County, Alabama",219924.0,36620.0,16.7,01125
"Walker County, Alabama",63567.0,11429.0,18.0,01127
"Washington County, Alabama",15141.0,2793.0,18.4,01129
"Wilcox County, Alabama",10137.0,2943.0,29.0,01131
"Winston County, Alabama",23151.0,4506.0,19.5,01133
"Aleutians East Borough, Alaska",3402.0,423.0,12.4,02013
"Aleutians West Census Area, Alaska",4970.0,459.0,9.2,02016
"Anchorage Municipality, Alaska",282916.0,26226.0,9.3,02020
"Bethel Census Area, Alaska",18105.0,4351.0,24.0,02050
"Bristol Bay Borough, Alaska",858.0,83.0,9.7,02060
"Chugach Census Area, Alaska",6784.0,326.0,4.8,02063
"Copper River Census Area, Alaska",2593.0,295.0,11.4,02066
"Denali Borough, Alaska",1994.0,131.0,6.6,02068
"Dillingham Census Area, Alaska",4740.0,774.0,16.3,02070
"Fairbanks North Star Borough, Alaska",91890.0,5669.0,6.2,02090
"Haines Borough, Alaska",2068.0,126.0,6.1,02100
"Hoonah-Angoon Census Area, Alaska",2313.0,291.0,12.6,02105
"Juneau City and Borough, Alaska",31336.0,2565.0,8.2,02110
"Kenai Peninsula Borough, Alaska",58456.0,6790.0,11.6,02122
"Ketchikan Gateway Borough, Alaska",13697.0,1300.0,9.5,02130
"Kodiak Island Borough, Alaska",12543.0,966.0,7.7,02150
"Kusilvak Census Area, Alaska",8185.0,2555.0,31.2,02158
"Lake and Peninsula Borough, Alaska",998.0,152.0,15.2,02164
"Matanuska-Susitna Borough, Alaska",107815.0,11111.0,10.3,02170
