NAME,pop_total,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_multirace,LocationID
"Autauga County, Alabama",59285.0,43616.0,11829.0,42.0,616.0,0.0,2722.0,01001
"Baldwin County, Alabama",239945.0,198721.0,19144.0,980.0,2272.0,104.0,13284.0,01003
"Barbour County, Alabama",24757.0,10891.0,11616.0,46.0,136.0,0.0,731.0,01005
"Bibb County, Alabama",22152.0,16634.0,4587.0,175.0,51.0,0.0,625.0,01007
"Blount County, Alabama",59292.0,53062.0,747.0,235.0,51.0,88.0,3054.0,01009
"Bullock County, Alabama",10157.0,2327.0,7234.0,0.0,47.0,0.0,221.0,01011
"Butler County, Alabama",18807.0,9622.0,8411.0,69.0,249.0,0.0,378.0,01013
"Calhoun County, Alabama",116141.0,82465.0,25515.0,302.0,925.0,198.0,4315.0,01015
"Chambers County, Alabama",34450.0,19089.0,13697.0,16.0,201.0,3.0,728.0,01017
"Cherokee County, Alabama",25224.0,23017.0,948.0,103.0,39.0,0.0,952.0,01019
"Chilton County, Alabama",45500.0,36815.0,4175.0,616.0,222.0,156.0,2151.0,01021
"Choctaw County, Alabama",12525.0,7101.0,4782.0,15.0,22.0,0.0,553.0,01023
"Clarke County, Alabama",22802.0,11749.0,10360.0,9.0,71.0,0.0,396.0,01025
"Clay County, Alabama",14188.0,11424.0,1840.0,19.0,47.0,0.0,697.0,01027
"Cleburne County, Alabama",15254.0,14158.0,598.0,42.0,16.0,0.0,234.0,01029
"Coffee County, Alabama",54231.0,38780.0,8991.0,312.0,509.0,49.0,4362.0,01031
"Colbert County, Alabama",57648.0,44984.0,9103.0,94.0,229.0,19.0,2199.0,01033
"Conecuh County, Alabama",11411.0,5730.0,5221.0,17.0,27.0,0.0,386.0,01035
"Coosa County, Alabama",10323.0,6664.0,3065.0,13.0,0.0,0.0,470.0,01037
"Covington County, Alabama",37647.0,31325.0,4417.0,83.0,151.0,0.0,1426.0,01039
"Crenshaw County, Alabama",13144.0,9280.0,3071.0,28.0,153.0,5.0,496.0,01041
"Cullman County, Alabama",89463.0,81402.0,958.0,312.0,499.0,19.0,4450.0,01043
"Dale County, Alabama",49516.0,33971.0,10504.0,333.0,654.0,37.0,2790.0,01045
"Dallas County, Alabama",37536.0,10207.0,26467.0,93.0,226.0,0.0,500.0,01047
"DeKalb County, Alabama",71946.0,58471.0,923.0,1059.0,145.0,418.0,4121.0,01049
"Elmore County, Alabama",88669.0,64984.0,18685.0,204.0,604.0,3.0,3467.0,01051
"Escambia County, Alabama",36695.0,22378.0,11255.0,1105.0,108.0,0.0,1409.0,01053
"Etowah County, Alabama",103208.0,79768.0,15529.0,277.0,708.0,44.0,4133.0,01055
"Fayette County, Alabama",16173.0,13662.0,1983.0,29.0,9.0,24.0,424.0,01057
"Franklin County, Alabama",31978.0,24208.0,1287.0,274.0,37.0,6.0,1853.0,01059
"Geneva County, Alabama",26726.0,22539.0,2311.0,65.0,166.0,4.0,1142.0,01061
"Greene County, Alabama",7589.0,1360.0,6186.0,9.0,0.0,0.0,5.0,01063
"Hale County, Alabama",14749.0,5666.0,8225.0,39.0,8.0,0.0,719.0,01065
"Henry County, Alabama",17450.0,12385.0,4394.0,64.0,102.0,9.0,443.0,01067
"Houston County, Alabama",107628.0,70462.0,29302.0,262.0,1077.0,49.0,5034.0,01069
"Jackson County, Alabama",52839.0,47005.0,1607.0,358.0,173.0,25.0,2404.0,01071
"Jefferson County, Alabama",669744.0,329852.0,284390.0,1510.0,12202.0,188.0,25448.0,01073
"Lamar County, Alabama",13809.0,11954.0,1282.0,51.0,20.0,0.0,437.0,01075
"Lauderdale County, Alabama",95037.0,79325.0,9205.0,301.0,578.0,15.0,4441.0,01077
"Lawrence County, Alabama",33182.0,25239.0,3292.0,1339.0,145.0,0.0,2574.0,01079
"Lee County, Alabama",177663.0,120347.0,39670.0,505.0,7605.0,64.0,6677.0,01081
"Limestone County, Alabama",107577.0,81012.0,13720.0,1123.0,1969.0,94.0,6780.0,01083
"Lowndes County, Alabama",10008.0,2451.0,7460.0,0.0,0.0,0.0,97.0,01085
"Macon County, Alabama",18951.0,3243.0,14838.0,7.0,53.0,0.0,737.0,01087
"Madison County, Alabama",397135.0,255048.0,96369.0,2224.0,10270.0,274.0,24595.0,01089
"Marengo County, Alabama",19027.0,8571.0,9768.0,74.0,64.0,0.0,411.0,01091
"Marion County, Alabama",29190.0,26682.0,1043.0,223.0,91.0,12.0,904.0,01093
"Marshall County, Alabama",98712.0,81021.0,2579.0,1380.0,634.0,74.0,6876.0,01095
"Mobile County, Alabama",413162.0,231919.0,148900.0,1617.0,8603.0,160.0,16858.0,01097
"Monroe County, Alabama",19580.0,10513.0,8260.0,198.0,65.0,46.0,479.0,01099
"Montgomery County, Alabama",227197.0,72196.0,133683.0,374.0,7411.0,15.0,10170.0,01101
"Morgan County, Alabama",123742.0,93264.0,16262.0,866.0,658.0,42.0,7917.0,01103
