LocationID,BPHIGH,DIABETES,HIGHCHOL,LPA,OBESITY,pop_total,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_multirace,pop_poverty_total,pop_below_poverty,pct_below_poverty,county_name,median_household_income,pct_white,pct_black,pct_aian,pct_asian,pct_nhpi,pct_multirace,race_bin,pct_hispanic,income_quintile,urban_rural_code,urban_rural
1001,42,13.3,41.3,27,39.8,59285,43616,11829,42,616,0,2722,58731,6275,10.7,"Autauga County, Alabama",69841,73.57004301,19.95277052,0.070844227,1.039048663,0,4.591380619,10-25%,3.690646875,Q4,3,Medium metro
1003,43.8,13.4,42.8,25.4,35.2,239945,198721,19144,980,2272,104,13284,236041,24819,10.5,"Baldwin County, Alabama",75019,82.81939611,7.978495072,0.408426931,0.946883661,0.043343266,5.536268728,0-10%,5.581695805,Q4,4,Small metro
1005,50.2,19.6,43,36.2,46.8,24757,10891,11616,46,136,0,731,21650,4746,21.9,"Barbour County, Alabama",44290,43.99159834,46.92006301,0.185806035,0.549339581,0,2.952700246,25-50%,6.018499818,Q1 (Lowest),5,Micropolitan
1007,46.3,16.2,42.4,33.3,43.9,22152,16634,4587,175,51,0,625,20759,4258,20.5,"Bibb County, Alabama",51215,75.0902853,20.70693391,0.789996389,0.230227519,0,2.821415674,10-25%,3.358613218,Q1 (Lowest),2,Large fringe metro
1009,41.2,13.8,42.2,29.1,36.1,59292,53062,747,235,51,88,3054,58665,8269,14.1,"Blount County, Alabama",61096,89.49268029,1.259866424,0.39634352,0.086014977,0.148417999,5.150779194,0-10%,10.05531944,Q3,2,Large fringe metro
1011,56.6,24.6,43.2,44.2,51.3,10157,2327,7234,0,47,0,221,9138,2344,25.7,"Bullock County, Alabama",36723,22.91030816,71.22181747,0,0.46273506,0,2.175839323,50%+,5.680811263,Q1 (Lowest),6,Noncore (rural)
1013,51,18.9,43.4,37.1,40.4,18807,9622,8411,69,249,0,378,18467,3881,21,"Butler County, Alabama",44881,51.16180146,44.72270963,0.366884671,1.323975116,0,2.009889935,25-50%,1.595150742,Q1 (Lowest),6,Noncore (rural)
1015,44.8,14.8,40.4,31.9,38.6,116141,82465,25515,302,925,198,4315,112002,19558,17.5,"Calhoun County, Alabama",55826,71.0042104,21.96898597,0.260028758,0.7964457,0.170482431,3.715311561,10-25%,4.434265247,Q2,4,Small metro
1017,48.7,17.9,41.8,34.3,41.5,34450,19089,13697,16,201,3,728,33682,5214,15.5,"Chambers County, Alabama",49295,55.4107402,39.75907112,0.046444122,0.583454282,0.008708273,2.113207547,25-50%,3.686502177,Q1 (Lowest),5,Micropolitan
1019,45.9,16,45.9,31.4,39.5,25224,23017,948,103,39,0,952,24829,3606,14.5,"Cherokee County, Alabama",50769,91.25039645,3.758325404,0.408341262,0.154614653,0,3.774183317,0-10%,1.732477006,Q1 (Lowest),6,Noncore (rural)
1021,43.1,14.1,43.3,31.1,40,45500,36815,4175,616,222,156,2151,44885,6111,13.6,"Chilton County, Alabama",61873,80.91208791,9.175824176,1.353846154,0.487912088,0.342857143,4.727472527,0-10%,9.865934066,Q3,2,Large fringe metro
1023,52.7,20.1,45.3,36.4,44.4,12525,7101,4782,15,22,0,553,12355,2413,19.5,"Choctaw County, Alabama",44483,56.69461078,38.17964072,0.119760479,0.175648703,0,4.415169661,25-50%,1.085828343,Q1 (Lowest),6,Noncore (rural)
1025,49.5,18.4,42,34.4,43.9,22802,11749,10360,9,71,0,396,22426,4607,20.5,"Clarke County, Alabama",49167,51.52618191,45.434611,0.039470222,0.311376195,0,1.736689764,25-50%,1.144636435,Q1 (Lowest),6,Noncore (rural)
1027,47.6,16.5,44.5,32.7,42.5,14188,11424,1840,19,47,0,697,13870,2295,16.5,"Clay County, Alabama",51852,80.51874824,12.96870595,0.133915985,0.331265858,0,4.912602199,10-25%,3.178742599,Q1 (Lowest),6,Noncore (rural)
1029,42.9,14.6,43.2,30.5,37.4,15254,14158,598,42,16,0,234,15082,1984,13.2,"Cleburne County, Alabama",53319,92.81499934,3.920283204,0.275337616,0.104890521,0,1.534023863,0-10%,2.006031205,Q2,6,Noncore (rural)
1031,43.5,14.8,40.4,29.9,41,54231,38780,8991,312,509,49,4362,53403,9409,17.6,"Coffee County, Alabama",64672,71.50891556,16.57907839,0.575316701,0.938577566,0.090354225,8.043370028,10-25%,9.396839446,Q3,5,Micropolitan
